name,Mname,Region,lng,lat,Twitter,Tfollowers,population,粉丝数/人口数,粉丝数/人口数(百分比）,Tadius,Tdate,endate,Tdays,Tnote
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83,1,0.6,3281,0.000183,0.02%,0.183,2016/1/1,2022/5/20,2331,"波斯尼亚和黑塞哥维那
推特账号创建于：2016/1/1
粉丝数/人口数：0.02%"
北马其顿,North Macedonia,EURO,21.51,42,1,0.6,2083,0.000288,0.03%,0.288,2020/3/15,2022/5/20,796,"北马其顿
推特账号创建于：2020/3/15
粉丝数/人口数：0.03%"
波兰,Poland（欧盟国家）,EURO,21.08,52.28,1,0.8,37847,0.000021,0.00%,0.021,2020/6/1,2022/5/20,718,"波兰
推特账号创建于：2020/6/1
粉丝数/人口数：0.00%"
土耳其,Turkey,EURO,32.79,39.91,1,31.9,84339,0.000378,0.04%,0.378,2019/11/1,2022/5/20,931,"土耳其
推特账号创建于：2019/11/1
粉丝数/人口数：0.04%"
乌克兰,Ukraine,EURO,30.53,50.38,1,6.5,43734,0.000149,0.01%,0.149,2015/11/1,2022/5/20,2392,"乌克兰
推特账号创建于：2015/11/1
粉丝数/人口数：0.01%"
阿富汗,Afghanistan,EMRO,69.17,34.49,1,76.2,38928,0.001957,0.20%,1.957,2011/12/1,2022/5/20,3823,"阿富汗
推特账号创建于：2011/12/1
粉丝数/人口数：0.20%"
吉布提,Djibouti,EMRO,43.14,11.54,1,3.7,988,0.003745,0.37%,3.745,2019/11/15,2022/5/20,917,"吉布提
推特账号创建于：2019/11/15
粉丝数/人口数：0.37%"
埃及,Egypt,EMRO,31.3,30.09,1,223.7,102334,0.002186,0.22%,2.186,2016/7/1,2022/5/20,2149,"埃及
推特账号创建于：2016/7/1
粉丝数/人口数：0.22%"
伊拉克,Iraq,EMRO,44.37,33.37,1,11.2,40223,0.000278,0.03%,0.278,2018/4/19,2022/5/20,1492,"伊拉克
推特账号创建于：2018/4/19
粉丝数/人口数：0.03%"
约旦,Jordan,EMRO,35.98,31.9,1,19.9,10203,0.00195,0.20%,1.95,2012/11/1,2022/5/20,3487,"约旦
推特账号创建于：2012/11/1
粉丝数/人口数：0.20%"
黎巴嫩,Lebanon,EMRO,35.52,33.8,1,20.9,6825,0.003062,0.31%,3.062,2014/3/18,2022/5/20,2985,"黎巴嫩
推特账号创建于：2014/3/18
粉丝数/人口数：0.31%"
利比亚,Libya,EMRO,13.19,32.85,1,15.2,6871,0.002212,0.22%,2.212,2017/12/10,2022/5/20,1622,"利比亚
推特账号创建于：2017/12/10
粉丝数/人口数：0.22%"
摩洛哥,Morocco,EMRO,-6.86,33.95,1,24.6,36911,0.000666,0.07%,0.666,2019/3/1,2022/5/20,1176,"摩洛哥
推特账号创建于：2019/3/1
粉丝数/人口数：0.07%"
阿曼,Oman,EMRO,58.57,23.54,1,7.8,5107,0.001527,0.15%,1.527,2017/11/1,2022/5/20,1661,"阿曼
推特账号创建于：2017/11/1
粉丝数/人口数：0.15%"
巴基斯坦,Pakistan,EMRO,73.01,33.7,1,73.1,220892,0.000331,0.03%,0.331,2017/12/31,2022/5/20,1601,"巴基斯坦
推特账号创建于：2017/12/31
粉丝数/人口数：0.03%"
索马里,Somalia,EMRO,45.32,2.08,1,60.7,15893,0.003819,0.38%,3.819,2013/2/1,2022/5/20,3395,"索马里
推特账号创建于：2013/2/1
粉丝数/人口数：0.38%"
苏丹,Sudan,EMRO,32.56,15.56,1,16.3,43849,0.000372,0.04%,0.372,2017/6/1,2022/5/20,1814,"苏丹
推特账号创建于：2017/6/1
粉丝数/人口数：0.04%"
阿拉伯叙利亚共和国,Syrian Arab Republic,EMRO,36.29,33.5,1,13.5,17501,0.000771,0.08%,0.771,2018/3/31,2022/5/20,1511,"阿拉伯叙利亚共和国
推特账号创建于：2018/3/31
粉丝数/人口数：0.08%"
突尼斯,Tunisia,EMRO,10.15,36.79,1,5.2,11819,0.00044,0.04%,0.44,2019/5/31,2022/5/20,1085,"突尼斯
推特账号创建于：2019/5/31
粉丝数/人口数：0.04%"
也门,Yemen,EMRO,44.19,15.4,1,168.3,29826,0.005643,0.56%,5.643,2015/4/1,2022/5/20,2606,"也门
推特账号创建于：2015/4/1
粉丝数/人口数：0.56%"
欧盟国家,WHO EU,EURO,4.47,50.82,1,13.9,445252,0.000031,0.00%,0.031,2015/2/8,2022/5/20,2658,"欧盟国家
推特账号创建于：2015/2/8
粉丝数/人口数：0.00%"
